 logU   Z        xi    lnh   al     NV_1240               CIV_1550              HeII_1640             CIII_1908             MgII_2796              MgII_2803             OII_3727               NeV_3426              NIII__3869            Hbeta                 OIII_4959             OIII_5007             OI_6300                 OI_6363                 NII_6548              Halpha                NII_6584              SII_6717                SII_6731               SIII_6312             SIII_9069             SIII_9532             PB                     PG                    P7                    P8                    P9                   
  -1.5   1.0E-4   0.3   4.0   -1.7   -5.324634159052103    -2.9689148519605197   -2.6530410013264714   -3.3098305102435575   -3.3592801143695397    -3.410575441904406    -4.732218340284639     -4.645066033440855    -4.004040302508017    -2.615162911796318    -3.4625965158419945   -2.9840118946158682   -4.598530529056909      -5.094846595160895      -6.021709895758974    -2.137922314257885    -5.551742115803535    -4.749165420003315      -4.79317412396815      -5.4628107737563525   -4.80271944187438     -4.408267761048165    -3.4776992508332683    -3.7210407293157814   -3.9338978032332292   -4.110071124993475    -4.258257658166308   
  -1.5   1.0E-4   0.3   4.0   -2.0   -6.033328047529771    -3.286828784919365    -2.963051887804724    -3.5160705367877583   -3.3347380464914735    -3.3889355352000265   -4.80771138743188      -5.277662288332671    -4.172766465181972    -2.783200938352337    -3.638083381331356    -3.1595175127865573   -5.009168513805271      -5.505497552953827      -6.323507583888848    -2.3083792915694588   -5.853530866928132    -5.143700179752209      -5.172824651701305     -5.544409099400198    -4.892078099813723    -4.497613853125827    -3.6366889343633773    -3.8802493761154153   -4.088347098498289    -4.260135060223412    -4.403930975548427   
  -1.5   1.0E-4   0.5   2.0   -1.2   -4.341111356034226    -2.810987195399761    -2.243196595108671    -3.4330560281434472   -0.8887038735177342    -1.0693616539487962   -1.7188302265902635    -4.0920246377782235   -3.7626825158252046   0.5737995822157416    -3.379884774997322    -2.901321670423563    -0.2878640122246807     -0.7841510238885476     -3.490703368318975    1.2951270852521901    -3.0207385182779163   -0.20004635637787516    -0.35536449623185007   -5.4529887487734      -4.607989316804499    -4.213532523259715    -0.34349932739858247   -0.5793182822961498   -0.8743886281025368   -1.1174071642206584   -1.3211539751639592  
  -1.5   1.0E-4   0.5   2.0   -1.4   -4.385746269271344    -2.794227417901581    -2.38828731056946     -3.426501793848068    -0.9105894890164521    -1.0910326995816106   -1.731117941267435     -4.203647727120064    -3.806068808825053    0.5576755937084314    -3.402129376995994    -2.923578032639405    -0.311393329178685      -0.8076834952972618     -3.503859437315711    1.2788450217471663    -3.033895829489147    -0.22406204346606273    -0.37933311804191305   -5.492764992572745    -4.744534518007534    -4.350081281264579    -0.3591907298639896    -0.5950124267649741   -0.890050419769409    -1.132839042450101    -1.3367515040099676  
  -1.5   1.0E-4   0.5   2.0   -1.7   -4.489548828985434    -2.8467645813477063   -2.6639607546289596   -3.492967640367894    -0.9760482925766141    -1.1559579579589823   -1.767639287646432     -4.424592753183674    -3.908684840302776    0.5092294127977794    -3.4959235118175727   -3.0173579654310885   -0.3818577291537153     -0.8781448178331459     -3.5424814282860027   1.229963261979428     -3.0725064503250934   -0.29604693462161435    -0.45119307363844996   -5.5724814336356445   -4.924343566402065    -4.5298983589708826   -0.4062488665614765    -0.6421604034620216   -0.9370045988135303   -1.1793585557445212   -1.3835349891279591  
  -1.5   1.0E-4   0.5   2.0   -2.0   -4.608042151754411    -2.9489246923242547   -2.9758428455403276   -3.6090825475026875   -1.0612301772168848    -1.2404303547292415   -1.8150531769481049    -4.682898187601992    -4.039096570598652    0.44599318178764946   -3.6279906475473354   -3.14942115000634     -0.4736865742415759     -0.9699672950638316     -3.59247313419705     1.166222834572082     -3.1225077136222197   -0.3899150191496119     -0.5448809353216006    -5.67109059512881     -5.069061151706414    -4.674607499982734    -0.46753864573615544   -0.7035761514962218   -0.9982230329225601   -1.2400678825701519   -1.4445065225934002  
  -1.5   1.0E-4   0.5   3.0   -1.2   -4.328114721169449    -2.7978660199391783   -2.2385833970498084   -3.4404644185157593   -3.546773422001813     -3.6158079303293604   -4.455163314591616     -4.078708990511764    -3.7859513205880617   -2.381899581803367    -3.3768644682926023   -2.89828728615349     -3.977571628814516      -4.473880510543111      -5.840613299038246    -1.8884686565694864   -5.370651573442196    -3.9581337972787054     -4.099911564752574     -5.503790161904114    -4.669586226650807    -4.275126362782871    -3.263707103259641     -3.5050943921836577   -3.728274530509765    -3.913106528690541    -4.070775272878187   
  -1.5   1.0E-4   0.5   3.0   -1.4   -4.376306302230837    -2.783069146258981    -2.383513983348905    -3.4352984362874963   -3.4873422811674004    -3.5487663755732086   -4.5796811152114145    -4.183884696835449    -3.8185280070536933   -2.4756038778961553   -3.39866806184412     -2.920095532333278    -4.245514057558715      -4.7418418066592025     -6.027852725236841    -1.990506611712462    -5.557880986254844    -4.213816654432364      -4.353615881193889     -5.526965808026823    -4.793767975673703    -4.399321087276391    -3.3542634230693196    -3.5959192569000606   -3.814401189417687    -3.9952058896112845   -4.1489313142235815  
  -1.5   1.0E-4   0.5   3.0   -1.7   -4.510308644623542    -2.8426943696720315   -2.6595360548143674   -3.50420598022513     -3.4267221625359454    -3.486342999042165    -4.7572846899608905    -4.391677255254102    -3.9153165020967506   -2.635843143877466    -3.4944295025568266   -3.015868907907951    -4.689051919670121      -5.185379550700894      -6.323882784328518    -2.1583777795300705   -5.853902986464128    -4.634755437982427      -4.769014928286445     -5.589239632755415    -4.948924692324255    -4.5544892034332705   -3.5088625160219706    -3.750899522817079    -3.96317156662289     -4.138531305795041    -4.286963309094958   
  -1.5   1.0E-4   0.5   3.0   -2.0   -4.7442211133329835   -2.961220930444462    -2.971632116302942    -3.6218565720322573   -3.3984397347238087    -3.462848594951666    -4.915674004983174     -4.653960143430197    -4.049372311473469    -2.8020306320838273   -3.632010806468898    -3.1534464132423423   -5.166221993344486      -5.662540738709346      -6.6187224278485175   -2.3280500121651      -6.148760002139689    -5.085974348303672      -5.207944668707718     -5.672600192762303    -5.068954243436238    -4.674504861435736    -3.6686334482142158    -3.910766268634603    -4.118181835869564    -4.289146735914294    -4.433267971013784   
  -1.5   1.0E-4   0.5   4.0   -1.2   -4.584993246046174    -2.8500422911089416   -2.2365046211420463   -3.356744774975226    -3.5700217519266886    -3.6354114862250384   -4.594073374387051     -4.0490853225520596   -3.8428758044951294   -2.3704986582327336   -3.428198031909183    -2.9496202437385435   -4.056772672212823      -4.553090207865395      -5.547508217211686    -1.881636055736557    -5.077534054701587    -4.122836059102838      -4.171552792300808     -5.452877841477992    -4.6130910115104555   -4.218632433188738    -3.243554079837729     -3.4859572255280113   -3.7094756915633127   -3.894966949606406    -4.052885008376201   
  -1.5   1.0E-4   0.5   4.0   -1.4   -4.797321005772275    -2.901010360598825    -2.3796973412141256   -3.3635020738667976   -3.4961684761219587    -3.557410495292423    -4.715636953686889     -4.217885852520929    -3.882331059437554    -2.459307721749255    -3.457996652496014    -2.979431565198638    -4.3067656479651575     -4.803105653088721      -5.727439036138442    -1.9764594784451432   -5.257479105798737    -4.358724242768091      -4.40722386351181      -5.438242897428637    -4.703444493911775    -4.308980428001249    -3.328780859701382     -3.5714764595792374   -3.7905922319036236   -3.9723242840951087   -4.1262610026976105  
  -1.5   1.0E-4   0.5   4.0   -1.7   -5.321754848072956    -3.1100543381787347   -2.6533732324684394   -3.4789796626881255   -3.4304388339491965    -3.4931568636606514   -4.849304948857288     -4.6409237739407345   -4.002722858335474    -2.616795228851352    -3.579466677306499    -3.10089662051508     -4.715591827493803      -5.2119165155545915     -6.029123365944642    -2.1390992728890765   -5.559153863725442    -4.748434776355374      -4.792661904711643     -5.459745625848889    -4.801700391032313    -4.407257140657492    -3.4788488353338707    -3.722024253776773    -3.9351303749401936   -4.1114947669523545   -4.2599295705648075  
  -1.5   1.0E-4   0.5   4.0   -2.0   -6.030542151362468    -3.428221314107269    -2.9632912784301126   -3.6843234796519866   -3.408434572835084     -3.480513277935543    -4.924526035411056     -5.273142440711503    -4.17043894370061     -2.784256717362396    -3.7541666649026766   -3.2756094262510445   -5.125292106510166      -5.621620270749261      -6.32569011105852     -2.309254751864252    -5.855706072801468    -5.141685420361306      -5.171153281042656     -5.541301731597251    -4.8909954924586145   -4.496563431696643    -3.6375929301421337    -3.881041222233563    -4.089316910632377    -4.261290773109394    -4.405276053590256   
  -1.5   2.0E-4   0.1   2.0   -1.2   -4.069371844110037    -2.285485830018615    -2.2380871893301943   -2.8547725073476045   -0.44955149710003184   -0.633932095187518    -1.2667304922824414    -3.837077313944576    -3.4893075691596422   0.5754187912143607    -2.9127866587683826   -2.4342111927379335   0.16896864655476662     -0.3273296204981335     -3.215718006565723    1.2889642608961367    -2.745742032776164    0.06468256622851243     -0.09064190866473609   -5.188713279029606    -4.34477509923169     -3.950316910911752    -0.3511620402097364    -0.5860300282519404   -0.8839570731507962   -1.1254370133475078   -1.3270897552444652  
  -1.5   2.0E-4   0.1   2.0   -1.4   -4.116696366475907    -2.2918256383216686   -2.3832934839880053   -2.861665717928979    -0.47238298639648235   -0.6564535568117407   -1.2789399532609949    -3.9540123943390313   -3.5367492266072205   0.5596313650110858    -2.940020283055837    -2.4614388327662127   0.14547610488495621     -0.3508209699518545     -3.228802162682861    1.2727695865517603    -2.7588272132299565   0.04068143937335833     -0.11459354331599059   -5.235248677675379    -4.481420262912394    -4.086965398603056    -0.3667942205055965    -0.6016432686202435   -0.8994916054980351   -1.1409458065988716   -1.3425712349392214  
  -1.5   2.0E-4   0.1   2.0   -1.7   -4.221732953193353    -2.3886697523482567   -2.6591594501876656   -2.951519352526496    -0.5365848484787747    -0.7212921166620276   -1.3153161828734596    -4.183433929416985    -3.6484742454521637   0.5122440096843448    -3.0421437951690677   -2.5635828959536298   0.07510879641650092     -0.4211889396774211     -3.2672605507069505   1.2241185111063828    -2.797293773009642    -0.031236951802753765   -0.18639232749079326   -5.328142456551646    -4.66476281309027     -4.270308866303516    -0.4137391013763221    -0.6485515770908847   -0.9461535731477468   -1.1875010911695085   -1.3890418939011013  
  -1.5   2.0E-4   0.1   2.0   -2.0   -4.338603831282747    -2.5438162265708684   -2.9712254734999135   -3.0910273439051537   -0.6232223649747013    -0.8074046724307848   -1.3625402918809968    -4.4504695252639905   -3.7892000896032485   0.45046466200714974   -3.1828711272836614   -2.704300982510489    -0.016626335566094497   -0.512904065796711      -3.3170881366800913   1.1607085722924282    -2.847130945782986    -0.12504877181542895    -0.28002272480456014   -5.438791249120051    -4.8147979348121055   -4.420353570668183    -0.4749422291422576    -0.7096982126943274   -1.0069784210051367   -1.2481822122631243   -1.449612638641419   
  -1.5   2.0E-4   0.1   3.0   -1.2   -4.0612551804974615   -2.2782553168479893   -2.235450280935531    -2.8700524427193344   -3.2515793775324298    -3.3644961474244823   -4.001749382436593     -3.825649402520618    -3.51911672445209     -2.3796244721389854   -2.9172505232727204   -2.4386839084261567   -3.54370989911731       -4.040028972328784      -5.526191989680164    -1.8902864952070502   -5.056228573634698    -3.716992924446245      -3.858080126086122     -5.246087706802356    -4.409414494647905    -4.0149644320896485   -3.261179817914318     -3.5031948490796836   -3.72473472689299     -3.908192402998324    -4.064502810730282   
  -1.5   2.0E-4   0.1   3.0   -1.4   -4.112444585411424    -2.2873923832104524   -2.3805622934970145   -2.8780464164547013   -3.2585489909454566    -3.3397608125717184   -4.126830584557645     -3.935392279869376    -3.55647103972494     -2.470762194730341    -2.9442777335164223   -2.465707303733069    -3.7925272105189833     -4.288842590364489      -5.709609190559775    -1.989064335295616    -5.239645380391586    -3.9495429052142725     -4.089274235991859     -5.276618221780858    -4.533621792435326    -4.1391710689682455   -3.349284606525707     -3.5916752198295825   -3.8084930953758516   -3.987880164195488    -4.140201452519435   
  -1.5   2.0E-4   0.1   3.0   -1.7   -4.248951965179813    -2.3930385298727046   -2.6570052170725234   -2.9698862472924077   -3.2556600686602195    -3.3079289846648905   -4.309237048320561     -4.150218313376087    -3.663700404236586    -2.6295239204557035   -3.0490804599670938   -2.570522267956548    -4.2364896480518155     -4.732804796854033      -6.008056601665373    -2.154839922348053    -5.538096480664748    -4.3716621664238815     -4.5058732462637465    -5.352753991181011    -4.694992762490479    -4.300543858030537    -3.5017721768482133    -3.744582754191505    -3.955146782732271    -4.129081333677902    -4.2761012289027605  
  -1.5   2.0E-4   0.1   3.0   -2.0   -4.482342332222466    -2.566262159480573    -2.9691574971750825   -3.1087581192365192   -3.2449487986334162    -3.28622394125518     -4.472795581012939     -4.419554038218891    -3.8085489855351042   -2.7955272963510325   -3.195894658051408    -2.717332579680253    -4.719808752127861      -5.216132137202628      -6.316034886412439    -2.3233795408691407   -5.846063245539064    -4.830237423097088      -4.951791332975851     -5.447599498839317    -4.8218291145512      -4.427395559450794    -3.6604094477319578    -3.903263739537529    -4.109137644851117    -4.278807891156276    -4.421704694879175   
  -1.5   2.0E-4   0.1   4.0   -1.2   -4.3246708447516085   -2.337913010258319    -2.2351814973801822   -2.797157634805366    -3.3054474460124794    -3.4066696194769364   -4.138513382084987     -3.7991768512890687   -3.586281234938923    -2.3744200566334612   -2.9816324216121544   -2.503042690738795    -3.5952859873311027     -4.091606138912226      -5.238575874519491    -1.888132853195529    -4.768606876596877    -3.8471004036062553     -3.8967095284422513    -5.202448563562712    -4.352401892221351    -3.957936650567845    -3.2477824792793086    -3.490797477668899    -3.7131843865634124   -3.8979094744881664   -4.054876229877884   
